epoch,model,metric_name,metric_value,time
46,autoencoder,train_mean_loss,7.7947073,0.5143253803253174
46,autoencoder,validation_mean_loss,7.7872095,0.05112004280090332
47,autoencoder,train_mean_loss,7.787894,0.5190932750701904
47,autoencoder,validation_mean_loss,7.7794046,0.0508575439453125
48,autoencoder,train_mean_loss,7.7834053,0.5160629749298096
48,autoencoder,validation_mean_loss,7.7738366,0.050751447677612305
49,autoencoder,train_mean_loss,7.7803736,0.5385499000549316
49,autoencoder,validation_mean_loss,7.774876,0.051570892333984375
50,autoencoder,train_mean_loss,7.7786813,0.5283684730529785
50,autoencoder,validation_mean_loss,7.7725983,0.05119752883911133
51,autoencoder,train_mean_loss,7.7784734,0.5224423408508301
51,autoencoder,validation_mean_loss,7.7759075,0.052438974380493164
52,autoencoder,train_mean_loss,7.7776814,0.5332283973693848
52,autoencoder,validation_mean_loss,7.7725163,0.05147051811218262
53,autoencoder,train_mean_loss,7.777144,0.5267221927642822
53,autoencoder,validation_mean_loss,7.7724814,0.05111122131347656
54,autoencoder,train_mean_loss,7.7751436,0.517979621887207
54,autoencoder,validation_mean_loss,7.7702527,0.050957441329956055
55,autoencoder,train_mean_loss,7.7749734,0.5148177146911621
55,autoencoder,validation_mean_loss,7.769103,0.05095171928405762
56,autoencoder,train_mean_loss,7.7735753,0.5155718326568604
56,autoencoder,validation_mean_loss,7.767962,0.050923824310302734
57,autoencoder,train_mean_loss,7.7724347,0.5158863067626953
57,autoencoder,validation_mean_loss,7.7657566,0.05100131034851074
58,autoencoder,train_mean_loss,7.771356,0.5172436237335205
58,autoencoder,validation_mean_loss,7.770172,0.051280975341796875
59,autoencoder,train_mean_loss,7.771418,0.5167365074157715
59,autoencoder,validation_mean_loss,7.76238,0.05088019371032715
60,autoencoder,train_mean_loss,7.770951,0.51596999168396
60,autoencoder,validation_mean_loss,7.7634974,0.05124354362487793
61,autoencoder,train_mean_loss,7.769664,0.517920970916748
61,autoencoder,validation_mean_loss,7.7645907,0.05105400085449219
62,autoencoder,train_mean_loss,7.7702503,0.5282723903656006
62,autoencoder,validation_mean_loss,7.767902,0.051306724548339844
63,autoencoder,train_mean_loss,7.7702,0.5551717281341553
63,autoencoder,validation_mean_loss,7.7656727,0.10662722587585449
64,autoencoder,train_mean_loss,7.7701783,0.6241991519927979
64,autoencoder,validation_mean_loss,7.7645884,0.051782846450805664
65,autoencoder,train_mean_loss,7.7687836,0.5410959720611572
65,autoencoder,validation_mean_loss,7.7645025,0.05203652381896973
66,autoencoder,train_mean_loss,7.7690535,0.5257999897003174
66,autoencoder,validation_mean_loss,7.762274,0.051087379455566406
67,autoencoder,train_mean_loss,7.76911,0.5353655815124512
67,autoencoder,validation_mean_loss,7.7633567,0.05141043663024902
68,autoencoder,train_mean_loss,7.7686625,0.5325403213500977
68,autoencoder,validation_mean_loss,7.765592,0.05213022232055664
69,autoencoder,train_mean_loss,7.7683196,0.5209400653839111
69,autoencoder,validation_mean_loss,7.7655783,0.05105781555175781
70,autoencoder,train_mean_loss,7.767307,0.5315968990325928
70,autoencoder,validation_mean_loss,7.764475,0.051689863204956055
71,autoencoder,train_mean_loss,7.7655106,0.5210490226745605
71,autoencoder,validation_mean_loss,7.7644424,0.05086851119995117
72,autoencoder,train_mean_loss,7.764812,0.516254186630249
72,autoencoder,validation_mean_loss,7.761053,0.0508418083190918
73,autoencoder,train_mean_loss,7.763828,0.5251951217651367
73,autoencoder,validation_mean_loss,7.759918,0.05137991905212402
74,autoencoder,train_mean_loss,7.763243,0.5371487140655518
74,autoencoder,validation_mean_loss,7.759903,0.052277326583862305
75,autoencoder,train_mean_loss,7.763452,0.5328109264373779
75,autoencoder,validation_mean_loss,7.76211,0.05571889877319336
76,autoencoder,train_mean_loss,7.762328,0.525404691696167
76,autoencoder,validation_mean_loss,7.758764,0.052753448486328125
77,autoencoder,train_mean_loss,7.762165,0.5251414775848389
77,autoencoder,validation_mean_loss,7.7598352,0.05284428596496582
78,autoencoder,train_mean_loss,7.7621074,0.4508211612701416
78,autoencoder,validation_mean_loss,7.7609234,0.03151273727416992
79,autoencoder,train_mean_loss,7.7619977,0.31768131256103516
79,autoencoder,validation_mean_loss,7.758704,0.030911684036254883
80,autoencoder,train_mean_loss,7.761452,0.3144676685333252
80,autoencoder,validation_mean_loss,7.7587028,0.02990245819091797
81,autoencoder,train_mean_loss,7.7615757,0.30190253257751465
81,autoencoder,validation_mean_loss,7.7619915,0.03028559684753418
82,autoencoder,train_mean_loss,7.761116,0.31720709800720215
82,autoencoder,validation_mean_loss,7.763081,0.030873537063598633
83,autoencoder,train_mean_loss,7.761064,0.3158535957336426
83,autoencoder,validation_mean_loss,7.7597623,0.03335976600646973
84,autoencoder,train_mean_loss,7.7610173,0.31199121475219727
84,autoencoder,validation_mean_loss,7.7597494,0.030017375946044922
85,autoencoder,train_mean_loss,7.7606773,0.30587315559387207
